tipo,subject,body,puntuacion,evidencias,entidad evaluada,dao de arbitraje
onchain,scam contract,dextools.io reported,1,,0x0861373b68a3d3d041a318b05e612071daac6bed,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x3179fc81cf38fadd35c0e26835141817250be6dd,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x3e1bbccbb4bba69b25352dc6cd2a5d50bbcaf23a,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0xf4b9cc8a576a562c14f1066fa3a4e5fed05f4425,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x6b0d0312b7f91384841b0dfdef3ef37a2ed4f761,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x10a52348b8bc3444dca8c810e0ced2e0abecc8e3,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x583955804daacdfed8e66f4e012453deea1dc2ab,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x19f363d8d2d2a3d92734b494cd2927bc6ee49257,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x96af1b5d6cd820b546e42c52f95e4445a037214b,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0xd7efd49320caa865e207655fd01fcbf4600acdc0,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
onchain,scam contract,dextools.io reported,1,,0x431e365aa04e8d098c563f6f2c4b572bf5cce357,0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069
